timestamp_cest,timestamp_utc,event_type,agent_id,agent_name,agent_ip,rule_id,rule_level,rule_description,rule_firedtimes,rule_groups,mitre_id,mitre_tactic,mitre_technique,compliance_pci,compliance_gdpr,program_name,srcuser,dstuser,uid,command,file_path,fim_event,file_sha256,file_size,vt_positives,vt_total,vt_malicious,vt_file,vt_permalink,src_ip,src_port,dst_ip,dst_port,protocol,service,duration,orig_bytes,resp_bytes,orig_pkts,resp_pkts,conn_state,location,full_log,anomaly_score,is_anomaly
"2026-08-26 18:12:14 CEST,2026-08-26T16:12:14.479+0000,host_auth,002,wazuh-lab,172.16.83.132,5402,3,Successful sudo to ROOT executed.,2,""syslog,sudo"",T1548.003,""Privilege Escalation,Defense Evasion"",Sudo and Sudo Caching,""10.2.5,10.2.2"",IV_32.2,sudo,sandbox,root,,/usr/bin/whoami,,,,,,,,,,,,,,,,,,,,,,journald,Aug 26 16:12:14 sandbox sudo[15174]: sandbox : TTY=/dev/pts/0 ; PWD=/home/sandbox ; USER=root ; COMMAND=/usr/bin/whoami",0.7352,host_virustotal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0473,0
"2026-08-26 21:30:19 CEST,2026-08-26T19:30:19.740+0000,host_auth,002,wazuh-lab,172.16.83.132,5402,3,Successful sudo to ROOT executed.,4,""syslog,sudo"",T1548.003,""Privilege Escalation,Defense Evasion"",Sudo and Sudo Caching,""10.2.5,10.2.2"",IV_32.2,sudo,sandbox,root,,/usr/bin/curl -o /opt/wazuh-lab/eicar.com https://secure.eicar.org/eicar.com,,,,,,,,,,,,,,,,,,,,,,journald,Aug 26 19:30:17 sandbox sudo[16047]: sandbox : TTY=/dev/pts/0 ; PWD=/opt/wazuh-lab ; USER=root ; COMMAND=/usr/bin/curl -o /opt/wazuh-lab/eicar.com https://secure.eicar.org/eicar.com",0.7279,host_virustotal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0473,0
"2026-08-26 21:56:34 CEST,2026-08-26T19:56:34.450+0000,host_auth,002,wazuh-lab,172.16.83.132,5402,3,Successful sudo to ROOT executed.,5,""syslog,sudo"",T1548.003,""Privilege Escalation,Defense Evasion"",Sudo and Sudo Caching,""10.2.5,10.2.2"",IV_32.2,sudo,sandbox,root,,/usr/bin/whoami,,,,,,,,,,,,,,,,,,,,,,journald,Aug 26 19:56:32 sandbox sudo[16240]: sandbox : TTY=/dev/pts/0 ; PWD=/opt/wazuh-lab ; USER=root ; COMMAND=/usr/bin/whoami",0.7935,host_virustotal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0473,0
"2026-08-27 18:24:01 CEST,2026-08-27T16:24:01.528+0000,host_auth,002,wazuh-lab,172.16.83.132,5402,3,Successful sudo to ROOT executed.,1,""syslog,sudo"",T1548.003,""Privilege Escalation,Defense Evasion"",Sudo and Sudo Caching,""10.2.5,10.2.2"",IV_32.2,sudo,sandbox,root,,/usr/bin/whoami,,,,,,,,,,,,,,,,,,,,,,journald,Aug 27 16:24:01 sandbox sudo[19938]: sandbox : TTY=/dev/pts/0 ; PWD=/opt/wazuh-lab ; USER=root ; COMMAND=/usr/bin/whoami",0.7091,host_virustotal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0473,0
"2026-08-27 18:24:01 CEST,2026-08-27T16:24:01.531+0000,host_auth,002,wazuh-lab,172.16.83.132,5502,3,PAM: Login session closed.,1,""pam,syslog"",,,,10.2.5,IV_32.2,sudo,,root,,,,,,,,,,,,,,,,,,,,,,,,journald,Aug 27 16:24:01 sandbox sudo[19938]: pam_unix(sudo:session): session closed for user root,0.7091,0;;;",,host_virustotal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0473,0
"2026-08-26 21:30:15 CEST,2026-08-26T19:30:15.740+0000,host_auth,002,wazuh-lab,172.16.83.132,5402,3,Successful sudo to ROOT executed.,3,""syslog,sudo"",T1548.003,""Privilege Escalation,Defense Evasion"",Sudo and Sudo Caching,""10.2.5,10.2.2"",IV_32.2,sudo,sandbox,root,,/usr/bin/rm -f /opt/wazuh-lab/eicar.com,,,,,,,,,,,,,,,,,,,,,,journald,Aug 26 19:30:14 sandbox sudo[16032]: sandbox : TTY=/dev/pts/0 ; PWD=/opt/wazuh-lab ; USER=root ; COMMAND=/usr/bin/rm -f /opt/wazuh-lab/eicar.com",0.7322,host_virustotal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0473,0
"2026-08-26 18:12:14 CEST,2026-08-26T16:12:14.479+0000,host_auth,002,wazuh-lab,172.16.83.132,5402,3,Successful sudo to ROOT executed.,2,""syslog,sudo"",T1548.003,""Privilege Escalation,Defense Evasion"",Sudo and Sudo Caching,""10.2.5,10.2.2"",IV_32.2,sudo,sandbox,root,,/usr/bin/whoami,,,,,,,,,,,,,,,,,,,,,,journald,Aug 26 16:12:14 sandbox sudo[15174]: sandbox : TTY=/dev/pts/0 ; PWD=/home/sandbox ; USER=root ; COMMAND=/usr/bin/whoami",0.7352,host_virustotal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0473,0
"2026-08-26 21:30:15 CEST,2026-08-26T19:30:15.740+0000,host_auth,002,wazuh-lab,172.16.83.132,5402,3,Successful sudo to ROOT executed.,3,""syslog,sudo"",T1548.003,""Privilege Escalation,Defense Evasion"",Sudo and Sudo Caching,""10.2.5,10.2.2"",IV_32.2,sudo,sandbox,root,,/usr/bin/rm -f /opt/wazuh-lab/eicar.com,,,,,,,,,,,,,,,,,,,,,,journald,Aug 26 19:30:14 sandbox sudo[16032]: sandbox : TTY=/dev/pts/0 ; PWD=/opt/wazuh-lab ; USER=root ; COMMAND=/usr/bin/rm -f /opt/wazuh-lab/eicar.com",0.7322,host_virustotal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0473,0
"2026-08-26 21:30:19 CEST,2026-08-26T19:30:19.740+0000,host_auth,002,wazuh-lab,172.16.83.132,5402,3,Successful sudo to ROOT executed.,4,""syslog,sudo"",T1548.003,""Privilege Escalation,Defense Evasion"",Sudo and Sudo Caching,""10.2.5,10.2.2"",IV_32.2,sudo,sandbox,root,,/usr/bin/curl -o /opt/wazuh-lab/eicar.com https://secure.eicar.org/eicar.com,,,,,,,,,,,,,,,,,,,,,,journald,Aug 26 19:30:17 sandbox sudo[16047]: sandbox : TTY=/dev/pts/0 ; PWD=/opt/wazuh-lab ; USER=root ; COMMAND=/usr/bin/curl -o /opt/wazuh-lab/eicar.com https://secure.eicar.org/eicar.com",0.7279,host_virustotal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0473,0
2026-08-26 21:36:39 CEST,2026-08-26T19:36:39.904+0000,host_virustotal,2.0,wazuh-lab,,11.0,4.0,,1.0,stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,df -P,The average number of logs between 19:00 and 20:00 is 2013. We reached 5034.,1.0,1
